dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_application/10S/short,chronos_bolt_small,7321997.084444445,7321997.084444445,1104.710625,5.406631534024659,0.0755308617485894,0.07234947270640109,51.93638913415396,2705.9188983494028,0.10435647604239032,0.042604273151685745,0.03452964724409113,Web/CloudOps,2
bizitobs_application/10S/medium,chronos_bolt_small,22367365.12,22367365.12,2307.7947916666667,9.14652940255732,0.12804112752278646,0.1216305853695899,221.21272910148923,4729.414881356889,0.18571020289118978,0.09062030922283688,0.08475612437691125,Web/CloudOps,2
bizitobs_application/10S/long,chronos_bolt_small,19429216.71111111,19429216.71111111,2495.4391666666666,9.648163590951983,0.13339719984266493,0.12833560359744675,261.615523737741,4407.858517592314,0.16999348430951094,0.09623911410291877,0.09211529875945668,Web/CloudOps,2
bizitobs_l2c/5T/short,chronos_bolt_small,20.391629464285714,20.391629464285714,2.666625685918899,0.27246100858788663,0.1426831372047644,0.20858240936379638,2.9292243853509,4.515709187302225,0.15508773170333323,0.09158271974065645,0.07327907498220032,Web/CloudOps,7
bizitobs_l2c/5T/medium,chronos_bolt_small,179.42937925170068,179.42937925170068,9.231685799319727,0.9197677910503801,0.5872681643519702,0.9301017623468854,27.315294795838774,13.395125204778815,0.704780569618274,0.4857224308631555,0.4620089921244381,Web/CloudOps,7
bizitobs_l2c/5T/long,chronos_bolt_small,412.37123015873016,412.37123015873016,14.418204365079365,1.3567894454883063,1.0479973613696976,1.3302392020723584,46.75319112558274,20.30692566979872,1.1402035174507859,0.8095606198449594,0.790428346246039,Web/CloudOps,7
solar/10T/short,chronos_bolt_small,24.246702972931875,24.246702972931875,2.139940455824209,0.9472421004665671,5.170497127035599,1.5645343107408292,7.8455716327714615,4.924094127139719,1.432418448338669,0.622508446858104,0.49832364373641863,Energy,1
solar/10T/medium,chronos_bolt_small,29.67181279031188,29.67181279031188,2.4410235740157047,1.0649802343594819,2.629963998714988,1.524913564070167,13.215130471544006,5.4471839321168405,1.208751700789501,0.5416728044305481,0.45267822001814423,Energy,1
