dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/W/short,timesfm1,4010560.4671532847,4010560.4671532847,1588.695939781022,1.7917702815628322,0.36942285690864507,0.29071217491187895,22.728196429131795,2002.6383765306418,0.40878856108032474,0.32429256066805495,0.3069105090976832,Energy,1
jena_weather/D/short,timesfm1,104693428.41904762,104693428.41904762,1731.6900793650793,97.92746062006627,47.51596869712352,0.9204582762544872,2589.6569353524587,10231.980669403536,61.61324702677702,10.427604593975394,10.01540843944173,Nature,21
solar/D/short,timesfm1,2557551.3693430657,2557551.3693430657,1134.1603406326035,4.354393972132408,3.3958851315389293,0.8824973454904483,36.0554571168955,1599.2346198550936,2.310349319381568,1.6384753922395252,1.2480404126912392,Energy,1
bitbrains_fast_storage/5T/short,timesfm1,893923859094.5146,893923859094.5146,46366.580513255045,293.55800787136627,1767.9364560969266,1.0492405696872398,5170.468209187103,945475.4672092316,2968.559172794487,145.57959742733075,131.0609125511902,Web/CloudOps,2
bitbrains_fast_storage/H/short,timesfm1,198188185389.09158,198188185389.09158,18151.0472028721,156.83849134060634,142.1690903690098,0.9180918871922119,1529.7976373469583,445183.31661136134,1268.9170300474054,51.73637926109771,47.14654400190723,Web/CloudOps,2
bitbrains_rnd/5T/short,timesfm1,308469407772.01294,308469407772.01294,23030.965061122388,208.6694395234449,1030.2436270985347,1.0204242548033808,2253.54880765507,555400.2230572229,2272.537368578499,94.2360599852225,83.29233863570391,Web/CloudOps,2
bitbrains_rnd/H/short,timesfm1,2373495844170.7124,2373495844170.7124,117993.7346234176,364.9459491126261,2714.746123172353,1.1176044005610772,6706.456849339555,1540615.4108572043,6742.487107254141,516.3983359042869,473.1432793200086,Web/CloudOps,2
bizitobs_l2c/5T/short,timesfm1,5937586.590476191,5937586.590476191,469.0578125,36.42903739425062,22.152192626121945,0.9252612643433012,713.8658887562425,2436.7163541282744,83.6867026842218,16.109343883991734,14.17340173691139,Web/CloudOps,7
bizitobs_l2c/H/short,timesfm1,181069450.15873015,181069450.15873015,5302.938492063492,484.7188793575663,777.6845023980816,1.5667674206262303,7008.502968107365,13456.204894350047,725.3239057417985,285.8419657824183,258.5938568475941,Web/CloudOps,7
jena_weather/10T/short,timesfm1,1097263422.5777779,1097263422.5777779,4767.860317460318,130.48622543500127,47.90971883757768,1.204202110795083,2621.150676984723,33124.9667558743,205.74755978340593,29.614388232755935,27.646049128247856,Nature,21
jena_weather/H/short,timesfm1,73758174.20885547,73758174.20885547,1834.0373851294903,226.16965131401935,131.22242974313326,1.2592267776731965,2790.027626204048,8588.257926311684,52.64546820367036,11.242531101373586,10.616743494649745,Nature,21
solar/10T/short,timesfm1,167249606.0729927,167249606.0729927,6539.913746958638,2959.7813267084107,7319.11976741822,1.8577636829816828,42154.04801896386,12932.501926270597,3762.06340984914,1902.4602007615954,1727.7260314871082,Energy,1
solar/H/short,timesfm1,27776.955307977973,27776.955307977973,117.44364075105648,8.796545727892806,30.888001698322473,1.6426175751426246,138.99708114136888,166.66419923900264,6.143298062259325,4.329011833045202,4.875644541873027,Energy,1
bizitobs_application/10S/short,timesfm1,6294716596005.547,6294716596005.547,789549.6533333333,1391.8424837516368,21.30717013888889,0.7196198925011016,23099.70601685824,2508927.3795798765,96.75930056105345,30.449774208908437,28.26951031978051,Web/CloudOps,2
bizitobs_service/10S/short,timesfm1,21803343246.11386,21803343246.11386,33377.618624338626,2192.262899112452,2520.1961904761906,0.6245609674123893,36809.51827184353,147659.5518282304,109.39091655157202,24.727206932556616,23.075270672219446,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,timesfm1,1443674911705.2449,1443674911705.2449,74716.04226581947,273.8110587869888,2112.844227770926,1.232814155346176,3313.569557115602,1201530.237532641,3650.580921839504,227.00798525975077,189.79134234517244,Web/CloudOps,2
bitbrains_rnd/5T/medium,timesfm1,335507323245.924,335507323245.924,39111.64937418636,437.8206077658214,1475.672782797788,1.2204886803449286,5593.956407927555,579229.9398735566,2437.1153078669895,164.56262503724133,139.0184498490733,Web/CloudOps,2
bizitobs_l2c/5T/medium,timesfm1,1792242327.1619048,1792242327.1619048,9913.78911564626,891.9257658813548,1141.0723156334645,1.623662426718265,8766.402605975298,42334.883100841376,2227.437412521498,521.6110960655994,432.16783214158437,Web/CloudOps,7
bizitobs_l2c/H/medium,timesfm1,6826311.923809524,6826311.923809524,1043.3666666666666,97.96265600406626,107.92612733412793,1.632375656911368,1190.622300817925,2612.7211722282045,158.20423547398602,63.17743644962656,54.23164689362558,Web/CloudOps,7
jena_weather/10T/medium,timesfm1,3493376488.210101,3493376488.210101,5036.378643578643,135.43823469797567,316.01655154002736,1.326067396077215,1832.8228379790312,59104.79243014141,362.7251007279962,30.908169637099967,27.16266933158427,Nature,21
jena_weather/H/medium,timesfm1,155909168.76190478,155909168.76190478,3127.9523809523807,185.5961986818622,661.812111332488,1.2982884124262908,2140.949611282423,12486.359307736775,76.40624709850476,19.14049537108212,16.60872481965821,Nature,21
solar/10T/medium,timesfm1,292518342.89971244,292518342.89971244,6174.695509842955,2771.3063335508996,5201.101072705602,1.941214370143443,24939.23620576578,17103.16762765636,3795.2606734877772,1370.1894028901452,1120.4713058751256,Energy,1
solar/H/medium,timesfm1,281616.8798053528,281616.8798053528,326.1764294403893,24.75538021727155,86.94693869890011,1.7613614989927606,243.40113451375979,530.675870758557,19.116183468267245,11.749636287954901,10.358888800876665,Energy,1
bizitobs_application/10S/medium,timesfm1,7607949375569.92,7607949375569.92,951605.76,1199.1446789240365,20.78952473958333,0.8553160264147966,12010.291339313268,2758251.144397464,108.30840442231343,37.36675745210204,30.4417371751495,Web/CloudOps,2
bizitobs_service/10S/medium,timesfm1,44533024051.52508,44533024051.52508,57574.24253968254,2338.310565785189,2444.2803174603173,1.2244486183650192,24632.95304719007,211028.49108953294,158.82501530353187,43.331731678708344,36.34434360931524,Web/CloudOps,2
bitbrains_fast_storage/5T/long,timesfm1,1791636425970.7957,1791636425970.7957,74330.56514584686,403.89762411006353,1818.6047602093884,1.286726637967485,5325.1154914876115,1338520.2374154811,3537.309360835058,196.43349165512078,164.58919644326315,Web/CloudOps,2
bitbrains_rnd/5T/long,timesfm1,961616125842.0651,961616125842.0651,55118.55478753412,393.7439609711857,1829.2452931256453,1.2439721404652333,4975.465611395933,980620.2760712553,3756.5355107247897,211.1467745585922,178.11385445124202,Web/CloudOps,2
bizitobs_l2c/5T/long,timesfm1,1843962839.04,1843962839.04,13571.127619047618,1250.170725331884,1833.0746238615206,1.7722944731089996,12774.636538976696,42941.38841537381,2411.0947620322363,761.998526937287,633.1869527187346,Web/CloudOps,7
bizitobs_l2c/H/long,timesfm1,1001032648.7365079,1001032648.7365079,21131.35238095238,2042.631842443576,3098.513780551222,2.0,19904.43958269189,31639.09999883859,1932.607543995003,1290.7639922673036,1082.585160342974,Web/CloudOps,7
jena_weather/10T/long,timesfm1,1696335349.70582,1696335349.70582,5991.610052910053,174.22594301364575,319.67532109810963,1.3335746213600355,2180.952943985508,41186.59186805604,252.02781796598353,36.66368930392502,31.85518979848869,Nature,21
jena_weather/H/long,timesfm1,517027408.7280423,517027408.7280423,4845.392063492063,390.7576769118623,1115.6973408541498,1.4217590328471914,4054.4794088997583,22738.236711056605,136.90937727673924,29.1746285564782,24.918916448990256,Nature,21
solar/10T/long,timesfm1,342504639.17988646,342504639.17988646,11946.467680454176,5320.46273338345,8708.156923392753,1.9973684306823163,43993.469981559276,18506.880860368838,3999.9658180994406,2582.03760695167,2088.004009969944,Energy,1
solar/H/long,timesfm1,281322586.85612327,281322586.85612327,1689.061313868613,97.15812587524711,359.5451650332041,1.7654021453891342,1020.1890625383568,16772.67381356125,581.539168445577,58.5628339785969,47.879669680579724,Energy,1
bizitobs_application/10S/long,timesfm1,937064457.1022222,937064457.1022222,16515.717777777776,148.4673100284805,2.2254511176215277,0.9632571413787805,2584.1669911842355,30611.5085727937,1.1805635279559954,0.6369452194782654,0.4997333605820212,Web/CloudOps,2
bizitobs_service/10S/long,timesfm1,71700736533.5636,71700736533.5636,38382.06984126984,853.9873851268032,89.42970899470899,0.8933708784961594,7494.285503154766,267769.9320938847,198.37252608471013,28.4346643823433,24.13781799046977,Web/CloudOps,2
