,model,dataset,domain,num_variates,prediction_length,frequency,inference_time,time_series_avg_len,num_samples,normalized_inference_time,normalized_time_per_input_output_point,Model,"Dataset, Frequency, Term",dataset_name,term
111,chronos_bolt_small,ercot/long,Energy,1,720,H,0.6391074180603027,154152.0,8,0.00011095614896880254,7.197840376304073e-10,Chr.B.S,"ercot, H, long",ercot,long
112,chronos_bolt_small,ercot/medium,Energy,1,480,H,0.4313087224960327,154392.0,8,0.00011231997981667518,7.274987034086946e-10,Chr.B.S,"ercot, H, medium",ercot,medium
113,chronos_bolt_small,ercot/short,Energy,1,48,H,0.10132451057434078,154824.0,8,0.0002638659129540124,1.7042959292746115e-09,Chr.B.S,"ercot, H, short",ercot,short
114,chronos_bolt_small,exchange_rate/long,Econ/Fin,1,120,D,0.08559978008270261,7468.0,8,8.916643758614856e-05,1.1939801497877417e-08,Chr.B.S,"exchange_rate, D, long",exchange_rate,long
115,chronos_bolt_small,exchange_rate/medium,Econ/Fin,1,80,D,0.08501741886138911,7508.0,8,0.00013283971697092048,1.769308963384663e-08,Chr.B.S,"exchange_rate, D, medium",exchange_rate,medium
116,chronos_bolt_small,exchange_rate/short,Econ/Fin,1,8,D,0.05096135139465328,7580.0,8,0.0007962711155414575,1.0504895983396536e-07,Chr.B.S,"exchange_rate, D, short",exchange_rate,short
117,chronos_bolt_small,jena_weather/10T/long,Nature,21,720,10T,4.186262822151184,49464.0,8,0.0007267817399568028,1.4693145316933583e-08,Chr.B.S,"jena_weather, 10T, long",jena_weather,long
118,chronos_bolt_small,jena_weather/10T/medium,Nature,21,480,10T,3.971311068534851,49824.0,11,0.0007521422478285703,1.509598281608402e-08,Chr.B.S,"jena_weather, 10T, medium",jena_weather,medium
119,chronos_bolt_small,jena_weather/10T/short,Nature,21,48,10T,1.0825076818466186,52200.0,20,0.0011276121685902278,2.1601765681805127e-08,Chr.B.S,"jena_weather, 10T, short",jena_weather,short
120,chronos_bolt_small,jena_weather/D/short,Nature,21,30,D,0.060401153564453094,321.0,2,0.001006685892740885,3.13609312380338e-06,Chr.B.S,"jena_weather, D, short",jena_weather,short
121,chronos_bolt_small,jena_weather/H/long,Nature,21,720,H,1.1213634014129639,7704.0,2,0.0007787245843145583,1.0108055351954286e-07,Chr.B.S,"jena_weather, H, long",jena_weather,long
122,chronos_bolt_small,jena_weather/H/medium,Nature,21,480,H,0.7376335144042969,8064.0,2,0.0007683682441711426,9.528376043788971e-08,Chr.B.S,"jena_weather, H, medium",jena_weather,medium
123,chronos_bolt_small,jena_weather/H/short,Nature,21,48,H,0.8566682815551758,8304.0,19,0.0009393292560912016,1.1311768498208111e-07,Chr.B.S,"jena_weather, H, short",jena_weather,short
124,chronos_bolt_small,solar/10T/long,Energy,1,720,10T,27.423302841186523,49320.0,1096,3.475175238390425e-05,7.046178504441251e-10,Chr.B.S,"solar, 10T, long",solar,long
125,chronos_bolt_small,solar/10T/medium,Energy,1,480,10T,25.201900124549866,49680.0,1507,3.4840052151832927e-05,7.012892945215967e-10,Chr.B.S,"solar, 10T, medium",solar,medium
126,chronos_bolt_small,solar/10T/short,Energy,1,48,10T,6.849890899658203,52056.0,2740,5.208250379910434e-05,1.0005091401395487e-09,Chr.B.S,"solar, 10T, short",solar,short
